,year,movie,movie_id,certificate,duration,genre,rate,metascore,synopsis,votes,gross,user_reviews,critic_reviews,popularity,awards_wins,awards_nominations
67,2000,Ed Gein,tt0230169,Not Rated,89,"Biography, Crime, Drama, Horror, Thriller",5.6,42.0,"The story of Ed Gein, who dug up the corpses of over a dozen women and made things out of their remains before finally shooting two people to death and butchering their bodies like beef sides.",4837,5708.0,108.0,36.0,-1.0,4,0
68,2000,Erin Brockovich,tt0195685,R,131,Biography|Drama,7.30000019,73.0,An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a city's water supply.,139323,125550000.0,500.0,166.0,1230.0,13,38
69,2000,Everybody's Famous!,tt0209037,R,97,Comedy|Drama|Music,7.0,60.0,"Jean is a family man and factory worker who dreams of becoming a songwriter. Pinning his hopes on his teenage daughter, Marva, he takes her to singing contests in which the awkward and ... See full summary И",2837,70000.0,38.0,35.0,,0,0
70,2000,Final Destination,tt0195714,R,98,Horror|Thriller,6.69999981,36.0,"After a teenager has a terrifying vision of him and his friends dying in a plane crash, he prevents the accident only to have Death hunt them down, one by one.",186452,53300000.0,675.0,211.0,1432.0,0,0
71,2000,Finding Forrester,tt0181536,PG-13,136,Drama,7.3,62.0,A young writing prodigy finds a mentor in a reclusive author.,78955,66400000.0,323.0,127.0,-1.0,5,13
72,2000,Frequency,tt0186151,PG-13,118,Crime|Drama|Mystery,7.400000099999999,67.0,"An accidental cross-time radio link connects father and son across 30 years. The son tries to save his father's life, but then must fix the consequences.",84574,44980000.0,511.0,170.0,2283.0,0,2
73,2000,Gangster No. 1,tt0210065,R,103,"Crime, Drama, Thriller",6.8,60.0,"Chronicles the rise and fall of a prominent, and particularly ruthless English gangster.",12359,30915.0,128.0,61.0,-1.0,0,9
74,2000,George Washington,tt0262432,Not Rated,89,Drama,7.4,82.0,"A group of children, in a depressed small town, band together to cover up a tragic mistake one summer.",7197,241816.0,72.0,66.0,-1.0,9,15
75,2000,Get Carter,tt0208988,R,102,"Action, Crime, Drama, Thriller",5.1,24.0,A Las Vegas mob enforcer travels back to his hometown to investigate his brother's mysterious death.,30709,14967182.0,286.0,103.0,-1.0,0,5
76,2000,Ginger Snaps,tt0210070,Not Rated,108,"Drama, Fantasy, Horror",6.8,70.0,"Two death-obsessed sisters, outcasts in their suburban neighborhood, must deal with the tragic consequences when one of them is bitten by a deadly werewolf.",38110,2554.0,327.0,113.0,3275.0,8,4
77,2000,Girlfight,tt0210075,R,110,"Drama, Sport",6.8,70.0,"Diana, without her father knowing it, trains as a boxer and achieves impressive success, blazing new trails for female boxers.",8918,1523941.0,91.0,97.0,-1.0,15,18
78,2000,Gladiator,tt0172495,R,155,Action|Adventure|Drama,8.5,64.0,"When a Roman general is betrayed and his family murdered by an emperor's corrupt son, he comes to Rome as a gladiator to seek revenge.",1024040,187670000.0,2380.0,265.0,365.0,18,51
79,2000,Gone in 60 Seconds,tt0187078,PG-13,118,"Action, Crime, Thriller",6.5,35.0,A retired master car thief must come back to the industry and steal fifty cars with his crew in one night to save his brother's life.,245435,101648571.0,504.0,138.0,2343.0,9,6
80,2000,Gone in Sixty Seconds,tt0187078,PG-13,118,Action|Crime|Thriller,6.5,35.0,A retired master car thief must come back to the industry and steal 50 cars with his crew in one night to save his brother's life.,223486,101640000.0,503.0,175.0,1388.0,0,0
81,2000,Gossip,tt0176783,R,90,"Drama, Mystery, Thriller",5.9,31.0,"Three college students base their class project around gossip and how fast it spreads, which soon spirals out of control.",13674,5108820.0,112.0,64.0,-1.0,0,3
82,2000,Gouttes d'eau sur pierres brûlantes,tt0211387,Not Rated,82,"Comedy, Drama, Romance",6.9,73.0,"In 1970s Germany, a 50-year-old businessman falls in love with a 20-year-old man.",5581,86132.0,32.0,62.0,-1.0,2,2
83,2000,Greenfingers,tt0203540,R,91,"Comedy, Crime, Romance",6.9,46.0,A prison inmate with a green thumb goes on to compete in a national gardening competition. Based on a true story.,5223,1439287.0,60.0,48.0,-1.0,0,0
84,2000,Groove,tt0212974,R,86,"Drama, Music",6.5,54.0,An inside look into one night in the San Francisco underground rave scene.,3850,1114943.0,75.0,37.0,-1.0,0,2
85,2000,Gun Shy,tt0171356,R,101,"Comedy, Crime, Romance",5.7,42.0,An undercover DEA agent brings down the Mafia.,6603,1631839.0,92.0,38.0,-1.0,0,0
86,2000,Hamlet,tt0171359,R,112,"Drama, Romance, Thriller",6.0,70.0,Modern-day New York City adaptation of Shakespeare's immortal story about Hamlet's plight to avenge his father's murder.,8745,1568749.0,169.0,90.0,-1.0,0,2
87,2000,Hanging Up,tt0162983,PG-13,94,"Comedy, Drama",4.8,33.0,"A trio of sisters bond over their ambivalence toward the approaching death of their curmudgeonly father, to whom none of them was particularly close.",11274,36050230.0,131.0,83.0,-1.0,2,0
88,2000,Happy Accidents,tt0208196,R,110,"Comedy, Romance",7.3,60.0,"Ruby Weaver, a woman from New York, believes she has found the man of her dreams. And Sam Deed is really such, except for he assures that he came from the future.",9087,688510.0,97.0,36.0,-1.0,0,2
